ID,Finish Order,Course,ST
4219,4,3,22
4219,4,6,20
4219,6,2,21
4219,6,5,15
4219,4,1,21
4219,3,5,23
4219,3,4,12
4358,2,1,39
4358,6,3,19
4358,6,4,24
4358,3,2,33
4358,5,5,28
4358,4,4,23
4358,3,5,27
4358,1,3,26
3949,5,3,27
3949,6,6,17
3949,6,2,17
3949,2,1,19
3949,5,6,25
3949,2,5,7
3949,5,4,19
3949,4,3,13
2568,2,5,11
2568,5,2,20
2568,6,4,18
2568,6,3,18
2568,4,2,34
2568,3,2,11
2568,6,6,30
2568,6,6,14
4197,2,1,15
4197,6,3,26
4197,5,5,20
4197,4,3,26
4197,6,2,23
4197,6,4,39
4197,4,6,21
4197,2,3,24
3561,4,1,12
3561,4,4,26
3561,3,5,10
3561,2,2,21
3561,3,3,9
3561,6,6,15
3561,5,4,26
3561,3,5,13
